adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,release_year,weighted_rating
False,34851,en,Predators,a group of coldblooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial predators,10.4042,2010-07-07,Predators,6.295,4575,2010,6.584527704735697
False,339988,en,The Circle,a young tech worker takes a job at a powerful internet corporation quickly rises up the companys ranks and soon finds herself in a perilous situation concerning privacy surveillance and freedom she comes to learn that her decisions and actions will determine the future of humanity,2.8735,2017-04-27,The Circle,5.523,4574,2017,6.309484590686492
False,19404,hi,दिलवाले दुल्हनिया ले जायेंगे,raj is a rich carefree happygolucky second generation nri simran is the daughter of chaudhary baldev singh who in spite of being an nri is very strict about adherence to indian values simran has left for india to be married to her childhood fianc raj leaves for india with a mission at his hands to claim his lady love under the noses of her whole family thus begins a saga,13.4169,1995-10-20,Dilwale Dulhania Le Jayenge,8.515,4573,1995,7.375453435891589
False,4133,en,Blow,a boy named george jung grows up in a struggling family in the s his mother nags at her husband as he is trying to make a living for the family it is finally revealed that georges father cannot make a living and the family goes bankrupt george does not want the same thing to happen to him and his friend tuna in the s suggests that he deal marijuana he is a big hit in california in the s yet he goes to jail where he finds out about the wonders of cocaine as a result when released he gets rich by bringing cocaine to america however he soon pays the price,6.611,2001-04-04,Blow,7.352,4571,2001,6.961070831864269
False,9016,en,Treasure Planet,when space galleon cabin boy jim hawkins discovers a map to an intergalactic loot of a thousand worlds a cyborg cook named john silver teaches him to battle supernovas and space storms on their journey to find treasure,9.3291,2002-11-26,Treasure Planet,7.563,4569,2002,7.036136847704154
False,291870,en,Dirty Grandpa,jason kelly is one week away from marrying his bosss ubercontrolling daughter putting him on the fast track for a partnership at the law firm however when the straightlaced jason is tricked into driving his foulmouthed grandfather dick to daytona for spring break his pending nuptials are suddenly in jeopardy between riotous frat parties bar fights and an epic night of karaoke dick is on a quest to live his life to the fullest and bring jason along for the ride,5.0227,2016-01-20,Dirty Grandpa,5.935,4565,2016,6.456647008549686
False,90,en,Beverly Hills Cop,fasttalking quickthinking detroit street cop axel foley has bent more than a few rules and regs in his time but when his best friend is murdered he heads to sunny beverly hills to work the case like only he can,9.6356,1984-12-05,Beverly Hills Cop,7.203,4564,1984,6.907843170438185
False,134,en,"O Brother, Where Art Thou?",in the deep south during the s three escaped convicts search for hidden treasure while a relentless lawman pursues them,7.1796,2000-08-30,"O Brother, Where Art Thou?",7.328,4560,2000,6.952201092103403
False,138697,en,Don Jon,a new jersey guy dedicated to his family friends and church develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love,7.5514,2013-09-12,Don Jon,6.014,4557,2013,6.485053000255746
False,484247,en,A Simple Favor,stephanie a dedicated mother and popular vlogger befriends emily a mysterious upperclass woman whose son nicky attends the same school as miles stephanies son when emily asks her to pick nicky up from school and then disappears stephanie undertakes an investigation that will dive deep into emilys cloudy past,4.3776,2018-09-13,A Simple Favor,6.641,4556,2018,6.7079248236640385
False,639,en,When Harry Met Sally...,sex always gets in the way of friendships between men and women at least thats what harry burns believes so when harry meets sally albright and a deep friendship blossoms between them harrys determined not to let his attraction to sally destroy it but when a night of weakness ends in a morning of panic can the pair avoid succumbing to harrys fears by remaining friends and admitting they just might be the perfect match for each other,8.0764,1989-07-12,When Harry Met Sally...,7.404,4553,1989,6.978994685284384
False,5175,en,Rush Hour 2,its vacation time for carter as he finds himself alongside lee in hong kong wishing for more excitement while carter wants to party and meet the ladies lee is out to track down a triad gang lord who may be responsible for killing two men at the american embassy things get complicated as the pair stumble onto a counterfeiting plot the boys are soon up to their necks in fist fights and lifethreatening situations a trip back to the us may provide the answers about the bombing the counterfeiting and the true allegiance of sexy customs agent isabella,12.9105,2001-08-03,Rush Hour 2,6.757,4551,2001,6.749148027568889
False,8699,en,Anchorman: The Legend of Ron Burgundy,its the s and san diego anchorman ron burgundy is the top dog in local tv but thats all about to change when ambitious reporter veronica corningstone arrives as a new employee at his station,4.4979,2004-06-28,Anchorman: The Legend of Ron Burgundy,6.702,4550,2004,6.7296170793449654
False,6947,en,The Village,when a willful young man tries to venture beyond his sequestered pennsylvania hamlet his actions set off a chain of chilling incidents that will alter the community forever,8.2079,2004-07-30,The Village,6.482,4547,2004,6.651535430937268
False,27581,en,The Other Guys,unlike their heroic counterparts on the force deskbound nypd detectives gamble and hoitz garner no headlines as they work day to day when a seemingly minor case turns out to be a big deal the two cops get the opportunity to finally prove to their comrades that they have the right stuff,7.2655,2010-08-06,The Other Guys,6.328,4544,2010,6.596936730677482
False,525,en,The Blues Brothers,jake blues just released from prison puts his old band back together to save the catholic home where he and his brother elwood were raised,8.1936,1980-06-16,The Blues Brothers,7.717,4543,1980,7.089697845177316
False,637920,tr,7. Koğuştaki Mucize,separated from his daughter a father with an intellectual disability must prove his innocence when he is jailed for the death of a commanders child,6.8291,2019-10-10,Miracle in Cell No. 7,8.252,4543,2019,7.279486154147831
False,91586,en,Insidious: Chapter 2,the haunted lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world,11.1147,2013-09-12,Insidious: Chapter 2,6.68,4535,2013,6.721853941467588
False,2698,en,Evan Almighty,god contacts junior congressman evan baxter and tells him to build an ark in preparation for a great flood,4.8497,2007-06-09,Evan Almighty,5.584,4534,2007,6.333554588000593
False,7737,en,Resident Evil: Extinction,years after the racoon city catastrophe survivors travel across the nevada desert hoping to make it to alaska alice joins the caravan and their fight against hordes of zombies and the evil umbrella corp,2.0577,2007-09-20,Resident Evil: Extinction,6.303,4533,2007,6.5883119068237
False,16859,ja,魔女の宅急便,a young witch on her mandatory year of independent life finds fitting into a new community difficult while she supports herself by running an air courier service,12.4224,1989-07-29,Kiki's Delivery Service,7.833,4530,1989,7.130134716688197
